Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
Suspected Boko Haram Members Kill Policemen,8/19/2011,,Maiduguri,Borno,4,Boko Haram,,,,,,,,,,3,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201108231660.html,http://www.trust.org/alertnet/news/nigerian-islamist-sect-kills-3-policemen-police,,,,"Maiduguri, Borno, Nigeria",Nigeria
Jos Violence,8/20/2011,Jol,Jos South,Plateau,4,,,Sectarian Actor,,,,,,,,,4,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.trust.org/alertnet/news/four-killed-in-nigeria-ethnic-attacks-govt-official,http://www.google.com/hostednews/afp/article/ALeqM5hDUDbw0DD9GIz7l4RNJLng1dqL_g?docId=CNG.6a670108d38445534610da091bfa06c7.121,,,,"Jos South, Plateau, Nigeria",Nigeria
"Police, Bank Attacks in Gombi",8/25/2011,Gombi,,Adamawa,16,Boko Haram,,,,,,,,,,8,,,,,,,,8,,,Bomb,Gun,,Suicide Bombing,,,,Government Building,,,Bank,,,,http://news.yahoo.com/radical-muslim-sect-kills-12-northeast-nigeria-183601265.html,http://www.vanguardngr.com/2011/08/16-killed-as-gunmen-attack-two-police-stations-banks/,,,,", Adamawa, Nigeria",Nigeria
Attack on UN Headquarters in Abuja,8/26/2011,Abuja,Federal Capital Territory Municipal Area Council (AMAC),Federal Capital Territory,23,Boko Haram,,,,,,,,,,,,,,,,,,23,,,Bomb,,,Suicide Bombing,,Targeted Killing,,Government Building,,,,School,,,http://www.nytimes.com/2011/08/27/world/africa/27nigeria.html?_r=1&ref=africa,http://saharareporters.com/news-page/bombing-un-offices-nigeria-carried-out-suicide-bomber,http://www.cnn.com/2011/WORLD/africa/08/26/nigeria.un/index.html?&hpt=hp_c1,,,"Federal Capital Territory Municipal Area Council (AMAC), Federal Capital Territory, Nigeria",Nigeria
Renewed Jos Violence,8/29/2011,Jos,Jos South,Plateau,20,,,Sectarian Actor,,,,,,,,,20,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201108300035.html,http://www.vanguardngr.com/2011/08/jos-boils-again-2/,,,,"Jos South, Plateau, Nigeria",Nigeria
Religious Violence in Jos,9/1/2011,Jos,Jos South,Plateau,42,,,Sectarian Actor,,,,,,,,,42,,,,,,,,,,,Gun,Machete,,,,,,,,,,Other,,http://www.christianpost.com/news/nigerias-christians-muslims-urge-peace-after-dozens-killed-55041/,http://www.aljazeera.com/news/africa/2011/09/20119216170786566.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Attacks Near Jos Leave Four Dead,9/4/2011,,Jos South,Plateau,4,,,Sectarian Actor,,,,,,,,,4,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.elombah.com/index.php/index.php?option=com_content&view=article&id=8046:fresh-attacks-leave-11-dead-in-central-nigeria&catid=3:newsflash&Itemid=57,http://allafrica.com/stories/201109060309.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Gunmen Shot Muslim Cleric Dead in Maiduguri,9/4/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,1,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://ascology.com/news/local-news/19845-Gunmen-shot-Islamic-cleric-dead-Maiduguri.html,http://allafrica.com/stories/201109051443.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Seven Die in Dabwak,9/4/2011,Zallaki village near Babale,Jos North,Plateau,8,,,Sectarian Actor,,,,,,,,,8,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.elombah.com/index.php/index.php?option=com_content&view=article&id=8046:fresh-attacks-leave-11-dead-in-central-nigeria&catid=3:newsflash&Itemid=57,http://allafrica.com/stories/201109051443.html,,,,"Jos North, Plateau, Nigeria",Nigeria
Tahu Violence Leaves Eight Dead,9/4/2011,Tahu,Barkin Ladi,Plateau,8,,,Sectarian Actor,,,,,,,,,8,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.google.com/hostednews/afp/article/ALeqM5ibb11up_SaAo33f3ds00kyzgFnAA?docId=CNG.62f0d0e2a4d19042c8686a2fcf1f2040.161,http://allafrica.com/stories/201109052075.html,,,,"Barkin Ladi, Plateau, Nigeria",Nigeria
Explosion in Maiduguri,9/6/2011,Maiduguri,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.rnw.nl/africa/bulletin/bomb-explodes-violence-torn-nigerian-city-residents,http://allafrica.com/stories/201109070467.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Nine Murdered in Jos Attack,9/9/2011,Barkin Ladi,Barkin Ladi,Plateau,9,,,Sectarian Actor,,,,,,,,,9,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://reliefweb.int/node/445921,http://allafrica.com/stories/201109100097.html,,,,"Barkin Ladi, Plateau, Nigeria",Nigeria
Three Murdered in Another Jos Attack,9/9/2011,"Kunzin, Jos",Barkin Ladi,Plateau,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://reliefweb.int/node/445921,http://allafrica.com/stories/201109100035.html,,,,"Barkin Ladi, Plateau, Nigeria",Nigeria
Fifteen Dead in Vwang Attack,9/10/2011,Vwang,Jos South,Plateau,15,,,Sectarian Actor,,,,,,,,,15,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.naharnet.com/stories/en/14714-new-central-nigeria-overnight-attacks-kill-15,http://allafrica.com/stories/201109110056.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Explosions in Jos,9/11/2011,Jos,Jos South,Plateau,0,Boko Haram,,,,,,,,,,,,,,,,,,,,,Bomb,,,,,,Drinking Establishment,,,,,,,,http://allafrica.com/stories/201109120692.html,http://allafrica.com/stories/201109120586.html,,,,"Jos South, Plateau, Nigeria",Nigeria
Seven Die in Misau,9/12/2011,,Misau,Bauchi,7,Boko Haram,,,,,,,,,,6,,,,,,,,1,,,Bomb,,,,,,,,,,,,Other,,http://odili.net/news/source/2011/sep/13/327.html,http://allafrica.com/stories/201109140405.html,,,,"Misau, Bauchi, Nigeria",Nigeria
Four Dead in Maiduguri Shooting,9/13/2011,Maiduguri,Maiduguri,Borno,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,,Gun,,,,,Drinking Establishment,,,,,,Other,,http://af.reuters.com/article/topNews/idAFJOE78C0IN20110913,http://allafrica.com/stories/201109140235.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Babakura Fugu Killed in Maiduguri,9/17/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,1,,,,,,,,,Gun,Machete,,,Targeted Killing,,,,,,,Other,,http://edition.cnn.com/2011/09/19/world/africa/nigeria-killing/,http://allafrica.com/stories/201109190906.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Four Killed in Bitaro,9/18/2011,Bitaro,Jaba,Kaduna,4,,,Sectarian Actor,,,,,,,,,4,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.google.com/hostednews/afp/article/ALeqM5hOpXkhhZTZG5zuXem2PsWmMpeBZg?docId=CNG.7001ab714ded53f51052f4eb1a124a15.c51,http://allafrica.com/stories/201109191369.html,,,,"Jaba, Kaduna, Nigeria",Nigeria
Nasarawa Priest Killed,9/23/2011,,Wamba,Nasarawa,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110031768.html,http://peoplesdaily-online.com/news/national-news/21139-rev-father-shot-dead-in-nasarawa,,,,"Wamba, Nasarawa, Nigeria",Nigeria
"Gunmen Kill Beer Distributor, Wife at Zuba",9/29/2011,Abuja,,Federal Capital Territory,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110040695.html,,,,,", Federal Capital Territory, Nigeria",Nigeria
Bombing and Shootout in Maiduguri,10/1/2011,Maiduguri,Maiduguri,Borno,3,Boko Haram,,,,,,,,,,,,,,,,,,3,,,Bomb,Gun,,,,,,,,,,,Other,,http://www.naharnet.com/stories/en/16416-bomb-blast-shootout-hits-violence-torn-nigerian-city,http://www.salon.com/2011/10/01/witness_nigeria_sect_kills_2_at_wedding_with_bomb/singleton/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Gunmen Kill Two During Maiduguri Attack,10/1/2011,Maiduguri,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,2,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.naharnet.com/stories/en/16416-bomb-blast-shootout-hits-violence-torn-nigerian-city,http://allafrica.com/stories/201110040454.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Attacks in Zamfara Leave Nineteen Dead,10/2/2011,Lingyado,,Zamfara,19,,,,,,,,,,,,,,,,,,,,,,,Gun,,,,,,,,,,,,,http://news.yahoo.com/19-killed-communal-clashes-north-nigeria-125559763.html,http://allafrica.com/stories/201110030310.html,,,,", Zamfara, Nigeria",Nigeria
Gunmen Murder Three in Maiduguri,10/3/2011,Maiduguri,Maiduguri,Borno,3,,,,,,,,,,,,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,,,http://reliefweb.int/node/450473,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Tanjol Violence Leaves Two Dead,10/4/2011,Tanjol,,Plateau,2,,,,,,,,,,,,,,,,,,,,,,,Gun,,,,,,,,,,,,,http://www.timeslive.co.za/africa/2011/10/06/two-shot-dead-in-central-nigerian-village,http://allafrica.com/stories/201110060364.html,,,,", Plateau, Nigeria",Nigeria
Two Suspected Boko Haram Members Killed,10/5/2011,Maiduguri,Maiduguri,Borno,2,,State Actor,,,,,,,,2,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://af.reuters.com/article/topNews/idAFJOE7950GA20111006?feedType=RSS&feedName=topNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FAFRICATopNews+%28News+%2F+AFRICA+%2F+Top+News%29,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Enugu PDP Chief Assassinated,10/7/2011,Enugu,Enugu South,Enugu,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,Machete,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110101121.html,http://tribune.com.ng/sun/news/5291-gunmen-kill-pdp-chairman-in-enugu,,,,"Enugu South, Enugu, Nigeria",Nigeria
Confusion Leads to Death of Two Ex- Massob Members in Onitsha,10/8/2011,Onitsha,Onitsha North,Anambra,2,,State Actor,,,,,,,,,,2,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201110101258.html,,,,,"Onitsha North, Anambra, Nigeria",Nigeria
Niger LGA Elections Leave One Dead,10/8/2011,,Kontagora,Niger,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201110101281.html,http://tribune.com.ng/index.php/news/29408-niger-lg-election-records-low-turnout-of-voters-1-killed-as-youths-protest,,,,"Kontagora, Niger, Nigeria",Nigeria
"Suspected Boko Haram Members Rob Bank, Murder Officer in Damboa",10/12/2011,,Damboa,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,Bank,,,,http://news.yahoo.com/police-nigeria-sect-kills-officer-robs-bank-152004878.html,http://allafrica.com/stories/201110140142.html,,,,"Damboa, Borno, Nigeria",Nigeria
Prison Guard Killed by Suspected Militants in Maiduguri,10/13/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://ndwgnews.blogspot.com/2011/10/boko-haram-kills-prison-guard-in.html,http://articles.boston.com/2011-10-14/news/30280132_1_boko-haram-prison-guard-sect,,,,"Maiduguri, Borno, Nigeria",Nigeria
Borno Vigilante Head Killed,10/15/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,1,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.dailytrust.com.ng/index.php?option=com_content&view=article&id=145499:gunmen-kill-borno-vigilante-chairman&catid=1:news&Itemid=2,http://www.sunnewsonline.com/webpages/news/national/2011/oct/17/national-17-10-2011-021.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Soldier Killed in Jos Machete Attack,10/15/2011,,Jos,Plateau,1,,,Sectarian Actor,,,,,,,,1,,,,,,,,,,,,,Machete,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110170927.html,http://www.boston.com/news/world/africa/articles/2011/10/17/2_men_found_dead_after_arrest_in_central_nigeria/,,,,"Jos, Plateau, Nigeria",Nigeria
Two Civilians Found Dead After Suspected Police Brutality Near Jos,10/15/2011,Jos,,Plateau,2,,State Actor,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Other,,http://www.boston.com/news/world/africa/articles/2011/10/17/2_men_found_dead_after_arrest_in_central_nigeria/,,,,,", Plateau, Nigeria",Nigeria
Gombe Police Station Blast Kills Three,10/16/2011,Kwami Road,Gombe,Gombe,4,Boko Haram,,,,,,,,,,4,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.trust.org/alertnet/news/bomb-kills-3-at-northern-nigerian-police-base,http://www.trust.org/alertnet/news/bomb-kills-3-at-northern-nigerian-police-base,,,,"Gombe, Gombe, Nigeria",Nigeria
Gunmen Kill MP in Maiduguri,10/16/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,1,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.bbc.co.uk/news/world-africa-15335671,http://www.globalpost.com/dispatches/globalpost-blogs/africa-emerges/nigeria-news-islamic-extremists-blamed-killing-member-par,,,,"Maiduguri, Borno, Nigeria",Nigeria
"Fifteen Die in Attack, Backlash in Central Nigerian Town",10/17/2011,Ugba,Logo,Benue,15,,State Actor,,,,,Other,,,,,,,15,,,,,,,,,,,,,,,,,,,,Other,,http://allafrica.com/stories/201110180935.html,http://allafrica.com/stories/201110180935.html,,,,"Logo, Benue, Nigeria",Nigeria
Businessman Shot and Killed in Maiduguri,10/19/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110210562.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Muslim Cleric and His Student Killed in Maiduguri,10/19/2011,Maiduguri,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110210562.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
Prison Wardner and Salon Owner Killed in Maiduguri,10/19/2011,Maiduguri,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,1,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110210562.html,,,,,"Maiduguri, Borno, Nigeria",Nigeria
"In Bauchi, Two Die Over Football Dispute",10/20/2011,Yelwa,Bauchi,Bauchi,2,,State Actor,,,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201110210980.html,http://allafrica.com/stories/201110210100.html,,,,"Bauchi, Bauchi, Nigeria",Nigeria
Jos Pastor Killed,10/20/2011,Jos,Jos South,Plateau,0,,State Actor,,,,,,,,,,,,,,,,,0,,,,Gun,,,,,,,,,,School,,,http://allafrica.com/stories/201110210690.html,http://www.vanguardngr.com/2011/10/task-force-to-try-soldier-for-shooting-clergyman/,,,,"Jos South, Plateau, Nigeria",Nigeria
Police Kill One Wound Nine,10/20/2011,Ido Ekiti,Ido,Ekiti,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201110210985.html,http://saharareporters.com/letter/how-nigerian-police-killed-tayo-abe-ekiti-state,,,,"Ido, Ekiti, Nigeria",Nigeria
Gunmen Injured Two in Kaduna,10/21/2011,Fadiya,Zangon-Kataf,Kaduna,0,,,Sectarian Actor,,,,,,,,,0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201110241096.html,http://www.galaxytvonline.com/news/main-news/gunmen-attack-fadiya-bakut-village-again,,,,"Zangon-Kataf, Kaduna, Nigeria",Nigeria
Nigerian Reporter's Death Blamed on Islamic Boko Haram,10/21/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,,,,,1,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://af.reuters.com/article/topNews/idAFJOE79O05K20111025,http://www.bbc.co.uk/news/world-africa-15419203,,,,"Maiduguri, Borno, Nigeria",Nigeria
Ex-NLC Chairman Gunned Down in Osun,10/25/2011,Ikirun,Ifelodun,Osun,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://234next.com/csp/cms/sites/Next/News/5746336-147/gunmen_kill_ex-nlc_chairman_in_osun.csp?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A+234next%252FrBCA+%2528The+Latest+News+from+234NEXT.com%2529,http://allafrica.com/stories/201110260523.html,,,,"Ifelodun, Osun, Nigeria",Nigeria
Bomb Attack in Maiduguri,10/27/2011,Maiduguri,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/news-page/loud-explosion-hits-maiduguri-afp,http://allafrica.com/stories/201110311302.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Gunmen Murder Borno Cleric,10/29/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201110311302.html,http://www.nigerianewswire.net/boko-haram-%E2%80%93-another-bomb-blast-in-borno-kills-cleric/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Bomb Blast Destroys Block Industry,10/30/2011,Jajere,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201110310337.html,http://allafrica.com/stories/201110310337.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Explosion Rocks Maiduguri,10/30/2011,,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://www.rnw.nl/africa/bulletin/bomb-blast-hits-nigerian-patrol-restive-city,http://www.omaninfo.com/news/loud-explosion-hits-restive-nigerian-city-residents.asp,,,,"Maiduguri, Borno, Nigeria",Nigeria
Ogun Officials Attacked,10/30/2011,Abeokuta,Abeokuta,Ogun,0,,,Sectarian Actor,,,,,,,,,0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://234next.com/csp/cms/sites/Next/News/5746703-147/gunmen_attack_ogun_lawmakers__.csp?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A+234next%252FrBCA+%2528The+Latest+News+from+234NEXT.com%2529,http://allafrica.com/stories/201111020038.html,,,,"Abeokuta, Ogun, Nigeria",Nigeria
Lawmaker Escapes Death as Three Die in Nurtw Clash,11/1/2011,Abeokuta,Ifo,Ogun,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Other,,http://allafrica.com/stories/201111020038.html,http://dailytimes.com.ng/article/3-die-another-nurtw-clash-ogun,,,,"Ifo, Ogun, Nigeria",Nigeria
Police Stray Bullet Kills School Teacher,11/1/2011,"PZ Area, Sabon-Gari",Zaria,Kaduna,1,,State Actor,,,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,Bank,,,,http://allafrica.com/stories/201111020286.html,http://www.allvoices.com/news/10768862-nigeria-police-stray-bullet-kills-school-teacher,,,,"Zaria, Kaduna, Nigeria",Nigeria
Two Policemen Killed,11/3/2011,,Oshodi-Isolo,Lagos,2,,,,,,Robber,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2011/11/robbers-kill-two-policemen-in-lagos/,http://www.zimbio.com/Nigeria+Crimes+News/articles/Rh9_6pzCwrz/Robbers+kill+two+policemen+Lagos+Vanguard,,,,"Oshodi-Isolo, Lagos, Nigeria",Nigeria
Gunmen Kill Soldier in Maiduguri,11/4/2011,,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201111040437.html,http://www.nigeriadailynews.com/latest-additions/30443-soldier-shot-dead-amid-arms-searches-in-maiduguri.html?print,http://www.channelstv.com/global/news_details.php?nid=30028&cat=Local,,,"Maiduguri, Borno, Nigeria",Nigeria
Suicide Bombers Hit Military HQ in Maiduguri,11/4/2011,,Maiduguri,Borno,2,Boko Haram,,,,,,,,,1,1,,,,,,,,,,,,Gun,,Suicide Bombing,,,,Government Building,,,,,,,http://www.modernghana.com/news/359409/1/restive-northern-nigeria-hit-by-wave-of-attacks.html,http://www.dawn.com/2011/11/05/suicide-bombers-hit-military-hq-in-nigerian-city.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Attacks in Northern Nigeria,11/5/2011,Damaturu,Damaturu,Yobe,150,Boko Haram,,,,,,,,,,,,,,,,,,150,,,Bomb,Gun,,,,,,Government Building,Church,,,School,,,http://www.hurriyetdailynews.com/n.php?n=nigeria-assaults-kill-150-pope-calls-to-end-violence-2011-11-06,http://www.timeslive.co.za/africa/2011/11/05/dozens-killed-in-attacks-in-northern-nigeria-witnesses,http://www.christianmessenger.in/boko-haram-bombs-11-churches-in-nigeria-kills-150/,,,"Damaturu, Yobe, Nigeria",Nigeria
"Gunmen Shoot, Kidnap Traditional Head",11/5/2011,,Ogbia,Bayelsa,1,,,,,Kidnapper,,,,,,,,,0,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201111070332.html,,,,,"Ogbia, Bayelsa, Nigeria",Nigeria
Gunmen Kill Two Women in Church,11/6/2011,,Zangon-Kataf,Kaduna,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,Bomb,,,,,,,,Church,,,,,,http://allafrica.com/stories/201111050035.html,http://www.menafn.com/qn_news_story.asp?StoryId={f8237759-f999-4056-a158-86f953cbd3f8},,,,"Zangon-Kataf, Kaduna, Nigeria",Nigeria
"Village Attacked in Kaduna, One Dead, One Injured",11/6/2011,,Zangon-Kataf,Kaduna,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201111070331.html,http://www.nigerianews24.com/articles/nigeria-another-village-attacked-in-kaduna-one-dead-one-injured-allafricacom,,,,"Zangon-Kataf, Kaduna, Nigeria",Nigeria
Attack on Police Station in Mainok,11/9/2011,Mainok,Kaga,Borno,4,Boko Haram,,,,,,,,,,4,,,,,,,,,,,Bomb,Gun,Machete,,,,,Government Building,,,,,,,http://allafrica.com/stories/201111111084.html,http://www.tribune.com.ng/index.php/news/31094-boko-haram-attacks-police-outpost-kills-2-in-borno,,,,"Kaga, Borno, Nigeria",Nigeria
Government Official's Brother Killed in Borno State,11/9/2011,,Kaga,Borno,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,,Gun,,,,Targeted Killing,,Government Building,,,,,Other,,http://www.thenationonlineng.net/2011/index.php/news/25984-boko-haram-kills-village-head%E2%80%99s-brother-in-borno.html,,,,,"Kaga, Borno, Nigeria",Nigeria
Suspected Cultists Kill Four in Bayelsa,11/9/2011,,Yenegoa,Bayelsa,4,,,,Other Armed Actor,,,,,,,,,,,,,,,4,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201111111252.html,http://news2.onlinenigeria.com/news/crime/120247-suspected-cultists-kill-4-in-bayelsa.html,,,,"Yenegoa, Bayelsa, Nigeria",Nigeria
Government Media Adviser Killed,11/12/2011,,Makurdi,Benue,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201111141518.html,http://www.dailytrust.com.ng/index.php?option=com_content&view=article&id=147728:suswams-media-adviser-akwaya-shot-by-gunmen&catid=2:lead-stories&Itemid=8,,,,"Makurdi, Benue, Nigeria",Nigeria
Man Gunned Down Near Shehu of Borno's Palace,11/13/2011,,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201111141302.html,http://www.peoplesdaily-online.com/news/national-news/24131-gunmen-kill-cleric-in-maiduguri-,,,,"Maiduguri, Borno, Nigeria",Nigeria
Two Wounded in Bomb Blast,11/13/2011,,Bauchi,Bauchi,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.cbsnews.com/8301-501710_162-57323222/police-2-wounded-in-bomb-blast-in-north-nigeria/,http://story.irishsun.com/index.php/ct/9/cid/2411cd3571b4f088/id/200953914/,http://allafrica.com/stories/201111120172.html,,,"Bauchi, Bauchi, Nigeria",Nigeria
Gunmen Kill Student,11/14/2011,,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,,,,,,1,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.gbooza.com/group/crime/forum/topics/suspected-gunmen-kill-islamic-student?xg_source=activity#axzz1eTJZJLla,http://www.nigerianewswire.net/suspected-gunmen-kill-islamic-student/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Bomb Blast as Governor Shettima Returns to Maiduguri,11/15/2011,,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,,,0,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://www.thisdaylive.com/articles/bomb-blast-as-shettima-returns-to-maiduguri/102833/,http://allafrica.com/stories/201111150867.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
NURTW Crisis Leaves Four Dead,11/15/2011,Sango-Ota,Ado-Odo/Ota,Ogun,20,,,Sectarian Actor,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2011/11/four-feared-dead-in-fresh-ogun-nurtw-crisis/,http://allafrica.com/stories/201111160942.html,http://www.vanguardngr.com/2011/11/only-2-died-in-ogun-nurtw-clash-ogun-govt/,,,"Ado-Odo/Ota, Ogun, Nigeria",Nigeria
Policemen Clash with Prostitutes,11/15/2011,,Agege,Lagos,0,,State Actor,,,,,,,,,,,,,,,,,0,,,,,Machete,,,,,,,,,,Other,,http://www.menafn.com/qn_news_story.asp?storyid={d5f2fa4c-d4c9-4082-b5ef-0099af6a8365},http://www.talkofnaija.com/News/newsdetailsone.aspx?NewsId=72BF0BBA-A0D0-4641-B811-7FB3C288FFD4,,,,"Agege, Lagos, Nigeria",Nigeria
